uuid,professional_persona,sports_persona,arts_persona,travel_persona,culinary_persona,persona,cultural_background,skills_and_expertise,hobbies_and_interests,career_goals_and_ambitions,sex,age,marital_status,education_level,occupation,industry,planning_area,country,interests_seed,skills_seed,skills_and_expertise_list,hobbies_and_interests_list
u-00092,professional 2,sports 0,arts 2,travel 2,culinary 2,Persona 92,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,32,single,bachelor,designer,media,Woodlands,Singapore,['hobby4hobby5hobby6'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby4hobby5hobby6']
u-00093,professional 3,sports 1,arts 3,travel 0,culinary 3,Persona 93,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,33,married,bachelor,analyst,education,Jurong West,Singapore,['hobby5hobby6hobby7'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby5hobby6hobby7']
u-00094,professional 4,sports 2,arts 4,travel 1,culinary 4,Persona 94,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,34,single,bachelor,manager,finance,Hougang,Singapore,['hobby6hobby7hobby0'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby6hobby7hobby0']
u-00095,professional 5,sports 3,arts 0,travel 2,culinary 5,Persona 95,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,35,married,bachelor,researcher,tech,Bedok,Singapore,['hobby7hobby0hobby1'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby7hobby0hobby1']
u-00096,professional 6,sports 0,arts 1,travel 0,culinary 0,Persona 96,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,36,single,bachelor,engineer,retail,Tampines,Singapore,['hobby0hobby1hobby2'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby0hobby1hobby2']
u-00097,professional 7,sports 1,arts 2,travel 1,culinary 1,Persona 97,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,37,married,bachelor,teacher,media,Woodlands,Singapore,['hobby1hobby2hobby3'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby1hobby2hobby3']
u-00098,professional 8,sports 2,arts 3,travel 2,culinary 2,Persona 98,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,38,single,bachelor,designer,education,Jurong West,Singapore,['hobby2hobby3hobby4'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby2hobby3hobby4']
u-00099,professional 9,sports 3,arts 4,travel 0,culinary 3,Persona 99,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,39,married,bachelor,analyst,finance,Hougang,Singapore,['hobby3hobby4hobby5'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby3hobby4hobby5']
u-00100,professional 0,sports 0,arts 0,travel 1,culinary 4,Persona 100,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,40,single,bachelor,manager,tech,Bedok,Singapore,['hobby4hobby5hobby6'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby4hobby5hobby6']
u-00101,professional 1,sports 1,arts 1,travel 2,culinary 5,Persona 101,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,41,married,bachelor,researcher,retail,Tampines,Singapore,['hobby5hobby6hobby7'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby5hobby6hobby7']
u-00102,professional 2,sports 2,arts 2,travel 0,culinary 0,Persona 102,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,42,single,bachelor,engineer,media,Woodlands,Singapore,['hobby6hobby7hobby0'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby6hobby7hobby0']
u-00103,professional 3,sports 3,arts 3,travel 1,culinary 1,Persona 103,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,43,married,bachelor,teacher,education,Jurong West,Singapore,['hobby7hobby0hobby1'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby7hobby0hobby1']
u-00104,professional 4,sports 0,arts 4,travel 2,culinary 2,Persona 104,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,44,single,bachelor,designer,finance,Hougang,Singapore,['hobby0hobby1hobby2'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby0hobby1hobby2']
u-00105,professional 5,sports 1,arts 0,travel 0,culinary 3,Persona 105,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,45,married,bachelor,analyst,tech,Bedok,Singapore,['hobby1hobby2hobby3'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby1hobby2hobby3']
u-00106,professional 6,sports 2,arts 1,travel 1,culinary 4,Persona 106,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,46,single,bachelor,manager,retail,Tampines,Singapore,['hobby2hobby3hobby4'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby2hobby3hobby4']
u-00107,professional 7,sports 3,arts 2,travel 2,culinary 5,Persona 107,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,47,married,bachelor,researcher,media,Woodlands,Singapore,['hobby3hobby4hobby5'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby3hobby4hobby5']
u-00108,professional 8,sports 0,arts 3,travel 0,culinary 0,Persona 108,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,48,single,bachelor,engineer,education,Jurong West,Singapore,['hobby4hobby5hobby6'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby4hobby5hobby6']
u-00109,professional 9,sports 1,arts 4,travel 1,culinary 1,Persona 109,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,49,married,bachelor,teacher,finance,Hougang,Singapore,['hobby5hobby6hobby7'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby5hobby6hobby7']
u-00110,professional 0,sports 2,arts 0,travel 2,culinary 2,Persona 110,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,50,single,bachelor,designer,tech,Bedok,Singapore,['hobby6hobby7hobby0'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby6hobby7hobby0']
u-00111,professional 1,sports 3,arts 1,travel 0,culinary 3,Persona 111,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,51,married,bachelor,analyst,retail,Tampines,Singapore,['hobby7hobby0hobby1'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby7hobby0hobby1']
u-00112,professional 2,sports 0,arts 2,travel 1,culinary 4,Persona 112,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,52,single,bachelor,manager,media,Woodlands,Singapore,['hobby0hobby1hobby2'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby0hobby1hobby2']
u-00113,professional 3,sports 1,arts 3,travel 2,culinary 5,Persona 113,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,53,married,bachelor,researcher,education,Jurong West,Singapore,['hobby1hobby2hobby3'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby1hobby2hobby3']
u-00114,professional 4,sports 2,arts 4,travel 0,culinary 0,Persona 114,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,54,single,bachelor,engineer,finance,Hougang,Singapore,['hobby2hobby3hobby4'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby2hobby3hobby4']
u-00115,professional 5,sports 3,arts 0,travel 1,culinary 1,Persona 115,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,55,married,bachelor,teacher,tech,Bedok,Singapore,['hobby3hobby4hobby5'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby3hobby4hobby5']
u-00116,professional 6,sports 0,arts 1,travel 2,culinary 2,Persona 116,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,56,single,bachelor,designer,retail,Tampines,Singapore,['hobby4hobby5hobby6'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby4hobby5hobby6']
u-00117,professional 7,sports 1,arts 2,travel 0,culinary 3,Persona 117,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,57,married,bachelor,analyst,media,Woodlands,Singapore,['hobby5hobby6hobby7'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby5hobby6hobby7']
u-00118,professional 8,sports 2,arts 3,travel 1,culinary 4,Persona 118,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,58,single,bachelor,manager,education,Jurong West,Singapore,['hobby6hobby7hobby0'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby6hobby7hobby0']
u-00119,professional 9,sports 3,arts 4,travel 2,culinary 5,Persona 119,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,59,married,bachelor,researcher,finance,Hougang,Singapore,['hobby7hobby0hobby1'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby7hobby0hobby1']
u-00120,professional 0,sports 0,arts 0,travel 0,culinary 0,Persona 120,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,20,single,bachelor,engineer,tech,Bedok,Singapore,['hobby0hobby1hobby2'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby0hobby1hobby2']
u-00121,professional 1,sports 1,arts 1,travel 1,culinary 1,Persona 121,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,21,married,bachelor,teacher,retail,Tampines,Singapore,['hobby1hobby2hobby3'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby1hobby2hobby3']
u-00122,professional 2,sports 2,arts 2,travel 2,culinary 2,Persona 122,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,22,single,bachelor,designer,media,Woodlands,Singapore,['hobby2hobby3hobby4'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby2hobby3hobby4']
u-00123,professional 3,sports 3,arts 3,travel 0,culinary 3,Persona 123,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,23,married,bachelor,analyst,education,Jurong West,Singapore,['hobby3hobby4hobby5'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby3hobby4hobby5']
u-00124,professional 4,sports 0,arts 4,travel 1,culinary 4,Persona 124,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,24,single,bachelor,manager,finance,Hougang,Singapore,['hobby4hobby5hobby6'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby4hobby5hobby6']
u-00125,professional 5,sports 1,arts 0,travel 2,culinary 5,Persona 125,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,25,married,bachelor,researcher,tech,Bedok,Singapore,['hobby5hobby6hobby7'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby5hobby6hobby7']
u-00126,professional 6,sports 2,arts 1,travel 0,culinary 0,Persona 126,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,26,single,bachelor,engineer,retail,Tampines,Singapore,['hobby6hobby7hobby0'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby6hobby7hobby0']
u-00127,professional 7,sports 3,arts 2,travel 1,culinary 1,Persona 127,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,27,married,bachelor,teacher,media,Woodlands,Singapore,['hobby7hobby0hobby1'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby7hobby0hobby1']
u-00128,professional 8,sports 0,arts 3,travel 2,culinary 2,Persona 128,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,28,single,bachelor,designer,education,Jurong West,Singapore,['hobby0hobby1hobby2'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby0hobby1hobby2']
u-00129,professional 9,sports 1,arts 4,travel 0,culinary 3,Persona 129,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,29,married,bachelor,analyst,finance,Hougang,Singapore,['hobby1hobby2hobby3'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby1hobby2hobby3']
u-00130,professional 0,sports 2,arts 0,travel 1,culinary 4,Persona 130,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,30,single,bachelor,manager,tech,Bedok,Singapore,['hobby2hobby3hobby4'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby2hobby3hobby4']
u-00131,professional 1,sports 3,arts 1,travel 2,culinary 5,Persona 131,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,31,married,bachelor,researcher,retail,Tampines,Singapore,['hobby3hobby4hobby5'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby3hobby4hobby5']
u-00132,professional 2,sports 0,arts 2,travel 0,culinary 0,Persona 132,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,32,single,bachelor,engineer,media,Woodlands,Singapore,['hobby4hobby5hobby6'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby4hobby5hobby6']
u-00133,professional 3,sports 1,arts 3,travel 1,culinary 1,Persona 133,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,33,married,bachelor,teacher,education,Jurong West,Singapore,['hobby5hobby6hobby7'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby5hobby6hobby7']
u-00134,professional 4,sports 2,arts 4,travel 2,culinary 2,Persona 134,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,34,single,bachelor,designer,finance,Hougang,Singapore,['hobby6hobby7hobby0'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby6hobby7hobby0']
u-00135,professional 5,sports 3,arts 0,travel 0,culinary 3,Persona 135,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,35,married,bachelor,analyst,tech,Bedok,Singapore,['hobby7hobby0hobby1'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby7hobby0hobby1']
u-00136,professional 6,sports 0,arts 1,travel 1,culinary 4,Persona 136,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,36,single,bachelor,manager,retail,Tampines,Singapore,['hobby0hobby1hobby2'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby0hobby1hobby2']
u-00137,professional 7,sports 1,arts 2,travel 2,culinary 5,Persona 137,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,37,married,bachelor,researcher,media,Woodlands,Singapore,['hobby1hobby2hobby3'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby1hobby2hobby3']
u-00138,professional 8,sports 2,arts 3,travel 0,culinary 0,Persona 138,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,38,single,bachelor,engineer,education,Jurong West,Singapore,['hobby2hobby3hobby4'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby2hobby3hobby4']
u-00139,professional 9,sports 3,arts 4,travel 1,culinary 1,Persona 139,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,39,married,bachelor,teacher,finance,Hougang,Singapore,['hobby3hobby4hobby5'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby3hobby4hobby5']
u-00140,professional 0,sports 0,arts 0,travel 2,culinary 2,Persona 140,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,40,single,bachelor,designer,tech,Bedok,Singapore,['hobby4hobby5hobby6'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby4hobby5hobby6']
u-00141,professional 1,sports 1,arts 1,travel 0,culinary 3,Persona 141,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,41,married,bachelor,analyst,retail,Tampines,Singapore,['hobby5hobby6hobby7'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby5hobby6hobby7']
u-00142,professional 2,sports 2,arts 2,travel 1,culinary 4,Persona 142,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,42,single,bachelor,manager,media,Woodlands,Singapore,['hobby6hobby7hobby0'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby6hobby7hobby0']
u-00143,professional 3,sports 3,arts 3,travel 2,culinary 5,Persona 143,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,43,married,bachelor,researcher,education,Jurong West,Singapore,['hobby7hobby0hobby1'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby7hobby0hobby1']
u-00144,professional 4,sports 0,arts 4,travel 0,culinary 0,Persona 144,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,44,single,bachelor,engineer,finance,Hougang,Singapore,['hobby0hobby1hobby2'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby0hobby1hobby2']
u-00145,professional 5,sports 1,arts 0,travel 1,culinary 1,Persona 145,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,45,married,bachelor,teacher,tech,Bedok,Singapore,['hobby1hobby2hobby3'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby1hobby2hobby3']
u-00146,professional 6,sports 2,arts 1,travel 2,culinary 2,Persona 146,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,46,single,bachelor,designer,retail,Tampines,Singapore,['hobby2hobby3hobby4'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby2hobby3hobby4']
u-00147,professional 7,sports 3,arts 2,travel 0,culinary 3,Persona 147,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,47,married,bachelor,analyst,media,Woodlands,Singapore,['hobby3hobby4hobby5'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby3hobby4hobby5']
u-00148,professional 8,sports 0,arts 3,travel 1,culinary 4,Persona 148,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,48,single,bachelor,manager,education,Jurong West,Singapore,['hobby4hobby5hobby6'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby4hobby5hobby6']
u-00149,professional 9,sports 1,arts 4,travel 2,culinary 5,Persona 149,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,49,married,bachelor,researcher,finance,Hougang,Singapore,['hobby5hobby6hobby7'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby5hobby6hobby7']
u-00150,professional 0,sports 2,arts 0,travel 0,culinary 0,Persona 150,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,50,single,bachelor,engineer,tech,Bedok,Singapore,['hobby6hobby7hobby0'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby6hobby7hobby0']
u-00151,professional 1,sports 3,arts 1,travel 1,culinary 1,Persona 151,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,51,married,bachelor,teacher,retail,Tampines,Singapore,['hobby7hobby0hobby1'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby7hobby0hobby1']
u-00152,professional 2,sports 0,arts 2,travel 2,culinary 2,Persona 152,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,52,single,bachelor,designer,media,Woodlands,Singapore,['hobby0hobby1hobby2'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby0hobby1hobby2']
u-00153,professional 3,sports 1,arts 3,travel 0,culinary 3,Persona 153,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,53,married,bachelor,analyst,education,Jurong West,Singapore,['hobby1hobby2hobby3'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby1hobby2hobby3']
u-00154,professional 4,sports 2,arts 4,travel 1,culinary 4,Persona 154,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,54,single,bachelor,manager,finance,Hougang,Singapore,['hobby2hobby3hobby4'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby2hobby3hobby4']
u-00155,professional 5,sports 3,arts 0,travel 2,culinary 5,Persona 155,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,55,married,bachelor,researcher,tech,Bedok,Singapore,['hobby3hobby4hobby5'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby3hobby4hobby5']
u-00156,professional 6,sports 0,arts 1,travel 0,culinary 0,Persona 156,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,56,single,bachelor,engineer,retail,Tampines,Singapore,['hobby4hobby5hobby6'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby4hobby5hobby6']
u-00157,professional 7,sports 1,arts 2,travel 1,culinary 1,Persona 157,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,57,married,bachelor,teacher,media,Woodlands,Singapore,['hobby5hobby6hobby7'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby5hobby6hobby7']
u-00158,professional 8,sports 2,arts 3,travel 2,culinary 2,Persona 158,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,58,single,bachelor,designer,education,Jurong West,Singapore,['hobby6hobby7hobby0'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby6hobby7hobby0']
u-00159,professional 9,sports 3,arts 4,travel 0,culinary 3,Persona 159,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,59,married,bachelor,analyst,finance,Hougang,Singapore,['hobby7hobby0hobby1'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby7hobby0hobby1']
u-00160,professional 0,sports 0,arts 0,travel 1,culinary 4,Persona 160,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,20,single,bachelor,manager,tech,Bedok,Singapore,['hobby0hobby1hobby2'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby0hobby1hobby2']
u-00161,professional 1,sports 1,arts 1,travel 2,culinary 5,Persona 161,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,21,married,bachelor,researcher,retail,Tampines,Singapore,['hobby1hobby2hobby3'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby1hobby2hobby3']
u-00162,professional 2,sports 2,arts 2,travel 0,culinary 0,Persona 162,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,22,single,bachelor,engineer,media,Woodlands,Singapore,['hobby2hobby3hobby4'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby2hobby3hobby4']
u-00163,professional 3,sports 3,arts 3,travel 1,culinary 1,Persona 163,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,23,married,bachelor,teacher,education,Jurong West,Singapore,['hobby3hobby4hobby5'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby3hobby4hobby5']
u-00164,professional 4,sports 0,arts 4,travel 2,culinary 2,Persona 164,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,24,single,bachelor,designer,finance,Hougang,Singapore,['hobby4hobby5hobby6'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby4hobby5hobby6']
u-00165,professional 5,sports 1,arts 0,travel 0,culinary 3,Persona 165,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,25,married,bachelor,analyst,tech,Bedok,Singapore,['hobby5hobby6hobby7'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby5hobby6hobby7']
u-00166,professional 6,sports 2,arts 1,travel 1,culinary 4,Persona 166,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,26,single,bachelor,manager,retail,Tampines,Singapore,['hobby6hobby7hobby0'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby6hobby7hobby0']
u-00167,professional 7,sports 3,arts 2,travel 2,culinary 5,Persona 167,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,27,married,bachelor,researcher,media,Woodlands,Singapore,['hobby7hobby0hobby1'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby7hobby0hobby1']
u-00168,professional 8,sports 0,arts 3,travel 0,culinary 0,Persona 168,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,28,single,bachelor,engineer,education,Jurong West,Singapore,['hobby0hobby1hobby2'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby0hobby1hobby2']
u-00169,professional 9,sports 1,arts 4,travel 1,culinary 1,Persona 169,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,29,married,bachelor,teacher,finance,Hougang,Singapore,['hobby1hobby2hobby3'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby1hobby2hobby3']
u-00170,professional 0,sports 2,arts 0,travel 2,culinary 2,Persona 170,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,30,single,bachelor,designer,tech,Bedok,Singapore,['hobby2hobby3hobby4'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby2hobby3hobby4']
u-00171,professional 1,sports 3,arts 1,travel 0,culinary 3,Persona 171,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,31,married,bachelor,analyst,retail,Tampines,Singapore,['hobby3hobby4hobby5'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby3hobby4hobby5']
u-00172,professional 2,sports 0,arts 2,travel 1,culinary 4,Persona 172,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,32,single,bachelor,manager,media,Woodlands,Singapore,['hobby4hobby5hobby6'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby4hobby5hobby6']
u-00173,professional 3,sports 1,arts 3,travel 2,culinary 5,Persona 173,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,33,married,bachelor,researcher,education,Jurong West,Singapore,['hobby5hobby6hobby7'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby5hobby6hobby7']
u-00174,professional 4,sports 2,arts 4,travel 0,culinary 0,Persona 174,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,34,single,bachelor,engineer,finance,Hougang,Singapore,['hobby6hobby7hobby0'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby6hobby7hobby0']
u-00175,professional 5,sports 3,arts 0,travel 1,culinary 1,Persona 175,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,35,married,bachelor,teacher,tech,Bedok,Singapore,['hobby7hobby0hobby1'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby7hobby0hobby1']
u-00176,professional 6,sports 0,arts 1,travel 2,culinary 2,Persona 176,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,36,single,bachelor,designer,retail,Tampines,Singapore,['hobby0hobby1hobby2'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby0hobby1hobby2']
u-00177,professional 7,sports 1,arts 2,travel 0,culinary 3,Persona 177,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,37,married,bachelor,analyst,media,Woodlands,Singapore,['hobby1hobby2hobby3'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby1hobby2hobby3']
u-00178,professional 8,sports 2,arts 3,travel 1,culinary 4,Persona 178,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,38,single,bachelor,manager,education,Jurong West,Singapore,['hobby2hobby3hobby4'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby2hobby3hobby4']
u-00179,professional 9,sports 3,arts 4,travel 2,culinary 5,Persona 179,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,39,married,bachelor,researcher,finance,Hougang,Singapore,['hobby3hobby4hobby5'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby3hobby4hobby5']
u-00180,professional 0,sports 0,arts 0,travel 0,culinary 0,Persona 180,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,40,single,bachelor,engineer,tech,Bedok,Singapore,['hobby4hobby5hobby6'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby4hobby5hobby6']
u-00181,professional 1,sports 1,arts 1,travel 1,culinary 1,Persona 181,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,41,married,bachelor,teacher,retail,Tampines,Singapore,['hobby5hobby6hobby7'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby5hobby6hobby7']
u-00182,professional 2,sports 2,arts 2,travel 2,culinary 2,Persona 182,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,42,single,bachelor,designer,media,Woodlands,Singapore,['hobby6hobby7hobby0'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby6hobby7hobby0']
u-00183,professional 3,sports 3,arts 3,travel 0,culinary 3,Persona 183,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,43,married,bachelor,analyst,education,Jurong West,Singapore,['hobby7hobby0hobby1'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby7hobby0hobby1']
u-00184,professional 4,sports 0,arts 4,travel 1,culinary 4,Persona 184,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,44,single,bachelor,manager,finance,Hougang,Singapore,['hobby0hobby1hobby2'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby0hobby1hobby2']
